subject_nr,correct,id,stim_type,response_time,block_id,age,gender,PT
11,0,24,a,503,150,20,m,150
11,0,30,a,772,150,20,m,150
11,0,23,a,550,150,20,m,150
11,1,55,c,642,150,20,m,150
11,1,48,b,1212,150,20,m,150
11,1,45,b,539,150,20,m,150
11,1,72,c,547,150,20,m,150
11,1,2,d,505,150,20,m,150
11,1,6,d,544,150,20,m,150
11,1,67,c,566,150,20,m,150
11,0,36,a,592,150,20,m,150
11,1,35,a,848,150,20,m,150
11,1,1,d,539,150,20,m,150
11,1,60,c,439,150,20,m,150
11,1,5,d,565,150,20,m,150
11,1,49,b,476,150,20,m,150
11,1,37,b,523,150,20,m,150
11,0,66,c,1709,150,20,m,150
11,0,31,a,835,150,20,m,150
11,1,62,c,784,150,20,m,150
11,0,34,a,478,150,20,m,150
11,0,43,b,1638,150,20,m,150
11,1,9,d,1289,150,20,m,150
