part,age,key,sex,style,stim,hemifield,response,rt
17,28,Right,female,Representational,111REALISTA,Right,1,574
17,28,Right,female,Abstract,089ABSTRACTO,Right,0,364
17,28,Right,female,Abstract,151ABSTRACTO,Left,1,377
17,28,Right,female,Abstract,230ABSTRACTO,Right,0,576
17,28,Right,female,Abstract,317ABSTRACTO,Left,0,485
17,28,Right,female,Representational,017REALISTA,Left,0,413
17,28,Right,female,Representational,010REALISTA,Left,0,353
17,28,Right,female,Representational,104POSTIMPRESjpg,Left,0,356
17,28,Right,female,Abstract,263ABSTRACTO,Right,0,419
17,28,Right,female,Abstract,117ABSTRACTO,Left,0,362
17,28,Right,female,Abstract,184ABSTRACTO,Right,0,421
17,28,Right,female,Representational,105REALISTA,Right,0,334
17,28,Right,female,Abstract,188ABSTRACTO,Left,0,401
17,28,Right,female,Abstract,390ABSTRACTO,Left,0,315
17,28,Right,female,Abstract,342ABSTRACTO,Left,0,373
17,28,Right,female,Representational,274REALISTA,Left,0,404
17,28,Right,female,Representational,127IMPRESION,Left,1,640
17,28,Right,female,Abstract,118ABSTRACTO,Right,0,688
17,28,Right,female,Representational,396REALISTA,Left,1,531
67,22,Left,female,Representational,389POSTIMPRES,Left,0,266
67,22,Left,female,Abstract,359ABSTRACTO,Left,0,259
67,22,Left,female,Abstract,188ABSTRACTO,Right,1,190
67,22,Left,female,Abstract,217ABSTRACTO,Left,0,537
67,22,Left,female,Representational,076REALISTA,Left,1,553
67,22,Left,female,Abstract,365ABSTRACTO,Left,0,372
67,22,Left,female,Abstract,362ABSTRACTO,Left,1,456
67,22,Left,female,Abstract,176ABSTRACTO,Right,1,423
67,22,Left,female,Representational,111REALISTA,Right,1,436
67,22,Left,female,Representational,177REALISTA,Right,1,493
67,22,Left,female,Representational,280REALISTA,Right,1,363
67,22,Left,female,Abstract,129ABSTRACTO,Left,0,228
67,22,Left,female,Representational,274REALISTA,Right,1,456
67,22,Left,female,Representational,350REALISTA,Left,0,308
67,22,Left,female,Representational,069POSTIMPRES,Left,0,367
67,22,Left,female,Abstract,367ABSTRACTO,Right,0,597
67,22,Left,female,Abstract,263ABSTRACTO,Left,0,644
67,22,Left,female,Representational,315IMPRESION,Left,1,439
67,22,Left,female,Abstract,342ABSTRACTO,Left,1,346
67,22,Left,female,Representational,106REALISTA,Right,1,514
67,22,Left,female,Representational,046REALISTA,Left,1,685
67,22,Left,female,Abstract,317ABSTRACTO,Left,0,560
67,22,Left,female,Abstract,180ABSTRACTO,Right,0,652
67,22,Left,female,Abstract,188ABSTRACTO,Left,1,915
67,22,Left,female,Abstract,084ABSTRACTO,Right,1,762
67,22,Left,female,Representational,030POSTIMPRES,Right,1,492
67,22,Left,female,Representational,062REALISTA,Left,0,397
67,22,Left,female,Representational,043REALISTA,Left,0,557
67,22,Left,female,Representational,104POSTIMPRESjpg,Left,0,431
67,22,Left,female,Representational,280REALISTA,Left,1,509
67,22,Left,female,Representational,020POSTIMPRES,Right,1,550
67,22,Left,female,Abstract,180ABSTRACTO,Left,0,463
67,22,Left,female,Abstract,329ABSTRACTO,Left,0,531
67,22,Left,female,Abstract,117ABSTRACTO,Right,0,489
67,22,Left,female,Abstract,098ABSTRACTO,Right,1,532
67,22,Left,female,Representational,071POSTIMPRES,Right,1,334
67,22,Left,female,Abstract,343ABSTRACTO,Right,1,498
67,22,Left,female,Representational,046REALISTA,Right,1,394
67,22,Left,female,Abstract,061ABSTRACTO,Right,0,630
67,22,Left,female,Representational,010REALISTA,Left,1,559
67,22,Left,female,Abstract,169ABSTRACTO,Right,1,517
67,22,Left,female,Representational,101IMPRESION,Left,0,461
67,22,Left,female,Representational,105REALISTA,Right,1,714
67,22,Left,female,Representational,308POSTIMPRES,Right,1,546
67,22,Left,female,Abstract,351ABSTRACTO,Left,0,412
67,22,Left,female,Abstract,230ABSTRACTO,Right,0,492
67,22,Left,female,Abstract,363ABSTRACTO,Right,1,589
67,22,Left,female,Abstract,098ABSTRACTO,Left,1,669
67,22,Left,female,Abstract,404ABSTRACTO,Left,0,704
67,22,Left,female,Abstract,121ABSTRACTO,Right,1,536
67,22,Left,female,Representational,385POSTIMPRES,Right,1,471
